ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
1,77,18,23-12-2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
2,80,19,25-12-2024,5,The quality is  top-notch.,0,Positive,0.0 to 0.49
3,50,13,26-01-2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
4,78,15,21-04-2025,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
5,64,2,16-07-2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
6,81,1,21-12-2025,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
7,16,1,29-01-2024,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
8,55,8,15-08-2024,5,The quality  is top-notch.,0,Positive,0.0 to 0.49
9,3,13,01-09-2023,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
10,78,6,17-06-2024,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
11,54,9,17-07-2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
12,77,2,13-01-2025,2,Product did  not meet my expectations.,0,Negative,0.0 to 0.49
13,93,6,20-08-2024,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
14,23,2,16-06-2025,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
15,29,11,27-01-2023,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
16,95,17,06-01-2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
17,88,4,29-10-2025,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
18,17,16,23-11-2024,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
19,34,13,04-01-2024,4,The quality is top-notch.,0,Positive,0.0 to 0.49
20,34,6,29-04-2023,1,I had a bad experience with this product.,-0.5423,Negative,-1.0 to -0.5
21,22,15,08-04-2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
22,52,3,30-10-2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
23,69,18,02-07-2023,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
24,100,4,18-07-2025,3,"I love this  product, will buy again!",0.6696,Mixed Positive,0.5 to 1.0
25,55,20,19-12-2024,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
26,76,11,21-08-2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
27,56,6,24-11-2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
28,76,8,27-05-2025,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
29,38,13,31-05-2023,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
30,84,6,18-03-2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
31,93,4,25-08-2025,3,"Good quality, but could be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
32,91,1,15-07-2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
33,30,2,21-02-2023,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
34,81,15,30-03-2024,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
35,27,12,13-03-2024,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
36,96,9,05-12-2025,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
37,38,3,11-09-2023,3,"Average experience, nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
38,45,17,07-05-2024,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
39,54,1,02-10-2023,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
40,33,2,03-01-2025,5,Five stars  for the quick delivery.,0,Positive,0.0 to 0.49
41,93,17,15-05-2025,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
42,72,15,21-03-2023,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
43,84,15,02-02-2025,4,Exceeded my  expectations!,0,Positive,0.0 to 0.49
44,44,17,20-04-2023,5,"Excellent product,  highly recommend!",0.7773,Positive,0.5 to 1.0
45,11,16,23-03-2023,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
46,27,5,07-05-2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
47,19,13,01-06-2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
48,70,17,08-10-2023,4,Shipping was fast and the item  was well-packaged.,0,Positive,0.0 to 0.49
49,3,7,09-06-2025,3,"Good quality, but could  be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
50,62,4,07-01-2023,1,The product stopped working after a month.,-0.2263,Negative,-0.49 to 0.0
51,49,17,14-04-2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
52,75,11,07-04-2024,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
53,73,18,28-12-2025,4,Five stars for  the quick delivery.,0,Positive,0.0 to 0.49
54,33,8,03-05-2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
55,57,9,03-11-2025,3,Customer support was  very helpful.,0.6997,Mixed Positive,0.5 to 1.0
56,15,10,11-12-2025,3,Shipping was fast and the item was well-packaged.,0,Neutral,0.0 to 0.49
57,41,10,06-04-2024,2,Disappointed with the performance.,-0.4767,Negative,-0.49 to 0.0
58,78,7,16-07-2024,2,"The product  is okay, but the instructions were unclear.",-0.2617,Negative,-0.49 to 0.0
59,98,9,01-09-2024,4,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
60,11,16,27-12-2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
61,50,19,24-02-2023,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
62,35,17,18-03-2023,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
63,93,2,05-01-2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
64,86,11,30-10-2025,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
65,34,3,15-06-2024,1,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
66,94,16,17-06-2023,4,"I love this product, will buy  again!",0.6696,Positive,0.5 to 1.0
67,67,13,12-04-2025,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
68,38,7,23-03-2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
69,77,12,03-08-2025,3,Five stars for the quick delivery.,0,Neutral,0.0 to 0.49
70,93,5,30-01-2024,4,Shipping was fast  and the item was well-packaged.,0,Positive,0.0 to 0.49
71,24,11,28-07-2025,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
72,29,4,29-05-2023,5,The  build quality is impressive.,0.5106,Positive,0.5 to 1.0
73,68,19,05-05-2025,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
74,59,9,16-05-2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
75,22,3,13-01-2024,5,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
76,9,10,31-08-2025,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
77,74,5,15-03-2023,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
78,6,10,09-12-2024,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
79,84,15,28-05-2024,2,The product arrived  late.,0,Negative,0.0 to 0.49
80,98,16,24-05-2025,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
81,3,19,04-09-2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
82,78,13,02-05-2023,4,Shipping  was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
83,32,11,26-05-2025,4,The quality is  top-notch.,0,Positive,0.0 to 0.49
84,40,20,17-07-2023,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
85,17,6,25-10-2025,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
86,78,3,06-10-2025,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
87,89,17,26-05-2023,3,Not  worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
88,93,19,26-08-2025,4,Exceeded my expectations!,0,Positive,0.0 to 0.49
89,60,3,08-07-2024,3,The quality is top-notch.,0,Neutral,0.0 to 0.49
90,47,17,12-11-2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
91,4,16,27-09-2025,3,"Great purchase, very satisfied.",0.8016,Mixed Positive,0.5 to 1.0
92,2,16,21-11-2023,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
93,60,13,05-09-2024,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
94,2,16,14-03-2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
95,16,16,07-04-2024,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
96,19,13,02-09-2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
97,64,6,19-01-2024,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
98,96,3,20-11-2025,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
99,79,16,29-01-2025,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
100,9,2,20-06-2025,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
101,61,18,11-09-2024,5,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
102,4,2,22-08-2025,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
103,82,14,17-11-2024,5,The quality is top-notch.,0,Positive,0.0 to 0.49
104,96,5,06-01-2023,4,"I love  this product, will buy again!",0.6696,Positive,0.5 to 1.0
105,32,12,27-08-2024,2,The product  arrived late.,0,Negative,0.0 to 0.49
106,94,17,25-02-2024,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
107,26,10,17-02-2025,5,Five stars for  the quick delivery.,0,Positive,0.0 to 0.49
108,80,17,22-12-2023,5,Five stars for the  quick delivery.,0,Positive,0.0 to 0.49
109,38,10,25-07-2023,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
110,54,12,02-08-2024,4,Customer  support was very helpful.,0.6997,Positive,0.5 to 1.0
111,43,7,05-11-2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
112,87,3,26-05-2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
113,27,9,31-03-2024,2,Disappointed with the performance.,-0.4767,Negative,-0.49 to 0.0
114,52,19,04-05-2025,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
115,82,9,28-09-2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
116,70,18,23-07-2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
117,20,14,19-04-2025,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
118,59,6,01-05-2024,1,The product arrived late.,0,Negative,0.0 to 0.49
119,34,5,06-09-2025,4,"Great purchase, very  satisfied.",0.8016,Positive,0.5 to 1.0
120,3,20,18-08-2024,4,The quality is top-notch.,0,Positive,0.0 to 0.49
121,91,1,02-11-2025,2,"Good quality, but could be cheaper.",0.2382,Mixed Negative,0.0 to 0.49
122,83,14,27-09-2024,2,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
123,93,1,22-09-2025,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
124,36,16,17-07-2023,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
125,55,11,20-12-2025,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
126,32,10,12-08-2024,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
127,47,8,25-03-2025,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
128,71,20,13-12-2023,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
129,46,13,14-02-2025,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
130,88,3,22-09-2025,5,"Great  purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
131,42,5,16-06-2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
132,21,7,13-11-2025,2,Product did not meet my expectations.,0,Negative,0.0 to 0.49
133,40,4,24-05-2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
134,74,4,27-03-2024,3,"Good quality, but could  be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
135,48,14,08-06-2023,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
136,17,3,27-03-2025,5,Amazing value for  the price.,0.7351,Positive,0.5 to 1.0
137,88,6,02-03-2023,4,"Good quality, but could  be cheaper.",0.2382,Positive,0.0 to 0.49
138,28,15,18-01-2023,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
139,36,16,20-04-2023,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
140,53,18,03-12-2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
141,98,9,15-10-2024,5,Amazing value for the  price.,0.7351,Positive,0.5 to 1.0
142,15,7,04-08-2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
143,3,12,12-04-2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
144,27,15,16-08-2025,4,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
145,27,10,05-03-2024,3,"The  product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
146,5,13,09-01-2025,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
147,100,20,25-01-2025,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
148,17,18,05-11-2024,1,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
149,50,3,20-12-2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
150,4,15,18-06-2024,5,"I love this product, will buy  again!",0.6696,Positive,0.5 to 1.0
151,21,19,30-10-2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
152,32,16,15-12-2025,3,"Good quality, but  could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
153,95,11,06-11-2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
154,3,12,19-12-2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
155,89,3,10-12-2025,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
156,5,7,26-01-2025,5,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
157,10,17,14-10-2025,2,The product arrived late.,0,Negative,0.0 to 0.49
158,37,2,16-04-2024,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
159,23,12,01-09-2023,5,"I love this product,  will buy again!",0.6696,Positive,0.5 to 1.0
160,71,9,02-01-2024,2,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
161,9,18,05-08-2025,2,The product arrived  late.,0,Negative,0.0 to 0.49
162,64,20,25-07-2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
163,89,7,27-05-2023,5,The quality is top-notch.,0,Positive,0.0 to 0.49
164,25,19,16-03-2024,2,Product did not  meet my expectations.,0,Negative,0.0 to 0.49
165,97,3,03-06-2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
166,87,3,01-11-2023,3,"Good  quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
167,28,16,02-08-2023,2,Product did not meet  my expectations.,0,Negative,0.0 to 0.49
168,72,2,13-12-2025,3,Customer support was very helpful.,0.6997,Mixed Positive,0.5 to 1.0
169,26,8,28-09-2025,5,Five stars for the quick  delivery.,0,Positive,0.0 to 0.49
170,53,13,23-06-2024,5,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
171,2,16,16-02-2024,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
172,79,2,23-11-2024,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
173,15,16,30-05-2025,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
174,91,8,23-06-2024,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
175,3,6,02-11-2024,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
176,21,11,23-11-2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
177,93,19,03-07-2025,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
178,17,20,25-05-2025,4,The quality is  top-notch.,0,Positive,0.0 to 0.49
179,46,20,26-11-2025,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
180,77,5,08-03-2023,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
181,4,3,09-08-2024,4,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
182,21,11,08-03-2024,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
183,13,5,08-06-2025,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
184,59,5,29-12-2024,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
185,8,6,13-11-2023,2,Product did not meet my expectations.,0,Negative,0.0 to 0.49
186,22,13,17-02-2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
187,58,18,01-05-2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
188,70,5,19-09-2025,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
189,83,7,13-03-2025,2,The product  arrived late.,0,Negative,0.0 to 0.49
190,83,3,10-08-2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
191,68,3,05-09-2024,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
192,42,17,04-08-2023,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
193,84,20,21-06-2024,3,"The product is okay, but the instructions were  unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
194,7,7,19-05-2025,1,The product arrived late.,0,Negative,0.0 to 0.49
195,75,5,25-10-2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
196,91,2,29-10-2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
197,51,15,27-11-2024,4,"I love this product,  will buy again!",0.6696,Positive,0.5 to 1.0
198,57,8,27-08-2023,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
199,6,13,20-08-2024,5,The  quality is top-notch.,0,Positive,0.0 to 0.49
200,30,17,09-01-2025,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
201,59,6,23-05-2023,2,Not worth the money.,-0.1695,Negative,-0.49 to 0.0
202,33,9,06-09-2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
203,66,18,22-11-2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
204,95,14,29-11-2024,4,"Great purchase, very  satisfied.",0.8016,Positive,0.5 to 1.0
205,88,12,06-04-2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
206,72,14,22-08-2023,4,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
207,95,18,07-06-2025,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
208,94,8,25-03-2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
209,70,8,05-11-2025,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
210,28,1,10-12-2023,2,The product arrived late.,0,Negative,0.0 to 0.49
211,84,12,07-03-2025,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
212,87,10,03-01-2023,1,"Terrible customer service, would not buy again.",-0.4767,Negative,-0.49 to 0.0
213,7,13,09-04-2024,5,Shipping was fast and  the item was well-packaged.,0,Positive,0.0 to 0.49
214,53,18,13-04-2025,3,Five stars for the quick delivery.,0,Neutral,0.0 to 0.49
215,55,10,07-01-2024,2,Product did not meet my expectations.,0,Negative,0.0 to 0.49
216,49,7,14-11-2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
217,62,11,19-08-2023,5,Amazing value  for the price.,0.7351,Positive,0.5 to 1.0
218,35,8,14-09-2024,4,The quality is top-notch.,0,Positive,0.0 to 0.49
219,90,9,18-02-2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
220,78,9,12-08-2025,2,Disappointed with the performance.,-0.4767,Negative,-0.49 to 0.0
221,26,2,21-10-2024,4,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
222,54,14,28-02-2024,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
223,37,16,31-07-2023,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
224,68,15,27-03-2023,4,"Great purchase,  very satisfied.",0.8016,Positive,0.5 to 1.0
225,80,1,08-09-2025,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
226,60,9,23-08-2023,2,The product arrived late.,0,Negative,0.0 to 0.49
227,74,11,10-08-2024,4,"Good  quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
228,20,19,23-10-2025,2,"The product is okay, but the instructions were unclear.",-0.2617,Negative,-0.49 to 0.0
229,69,12,07-02-2023,4,The  quality is top-notch.,0,Positive,0.0 to 0.49
230,54,11,19-10-2023,2,The product arrived late.,0,Negative,0.0 to 0.49
231,15,16,15-04-2025,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
232,17,3,11-10-2025,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
233,81,4,14-11-2024,2,The product arrived late.,0,Negative,0.0 to 0.49
234,80,9,06-03-2023,5,The build quality is impressive.,0.5106,Positive,0.5 to 1.0
235,54,3,18-03-2024,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
236,55,16,03-03-2025,5,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
237,44,2,29-09-2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
238,47,9,18-04-2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
239,45,9,28-01-2024,5,Exceeded my expectations!,0,Positive,0.0 to 0.49
240,20,16,09-11-2024,5,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
241,61,15,22-04-2024,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
242,20,20,07-06-2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
243,24,11,17-02-2023,1,I had a bad experience with this product.,-0.5423,Negative,-1.0 to -0.5
244,36,4,25-08-2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
245,50,3,23-03-2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
246,71,12,23-07-2023,4,The  quality is top-notch.,0,Positive,0.0 to 0.49
247,28,6,24-11-2025,5,"Excellent product, highly  recommend!",0.7773,Positive,0.5 to 1.0
248,81,6,15-07-2023,3,"Good quality, but could be cheaper.",0.2382,Mixed Positive,0.0 to 0.49
249,75,2,04-01-2023,1,"Not  satisfied, the product broke after a week.",-0.6288,Negative,-1.0 to -0.5
