ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText
1,77,18,23-12-2023,3,"Average experience, nothing special."
2,80,19,25-12-2024,5,The quality is  top-notch.
3,50,13,26-01-2025,4,Five stars for the quick delivery.
4,78,15,21-04-2025,3,"Good quality, but could be cheaper."
5,64,2,16-07-2023,3,"Average experience, nothing special."
6,81,1,21-12-2025,4,Customer support was very helpful.
7,16,1,29-01-2024,3,"Average experience, nothing special."
8,55,8,15-08-2024,5,The quality  is top-notch.
9,3,13,01-09-2023,4,"I love this product, will buy again!"
10,78,6,17-06-2024,5,"Excellent product, highly recommend!"
11,54,9,17-07-2023,4,"Great purchase, very satisfied."
12,77,2,13-01-2025,2,Product did  not meet my expectations.
13,93,6,20-08-2024,5,"Great purchase, very satisfied."
14,23,2,16-06-2025,4,"Good quality, but could be cheaper."
15,29,11,27-01-2023,5,"Great purchase, very satisfied."
16,95,17,06-01-2023,5,"Excellent product, highly recommend!"
17,88,4,29-10-2025,3,Not worth the money.
18,17,16,23-11-2024,4,Shipping was fast and the item was well-packaged.
19,34,13,04-01-2024,4,The quality is top-notch.
20,34,6,29-04-2023,1,I had a bad experience with this product.
21,22,15,08-04-2023,5,Amazing value for the price.
22,52,3,30-10-2025,4,The quality is top-notch.
23,69,18,02-07-2023,5,Five stars for the quick delivery.
24,100,4,18-07-2025,3,"I love this  product, will buy again!"
25,55,20,19-12-2024,4,Shipping was fast and the item was well-packaged.
26,76,11,21-08-2024,4,Five stars for the quick delivery.
27,56,6,24-11-2025,4,The quality is top-notch.
28,76,8,27-05-2025,5,Five stars for the quick delivery.
29,38,13,31-05-2023,4,"I love this product, will buy again!"
30,84,6,18-03-2024,4,Five stars for the quick delivery.
31,93,4,25-08-2025,3,"Good quality, but could be  cheaper."
32,91,1,15-07-2023,4,The quality is top-notch.
33,30,2,21-02-2023,4,Shipping was fast and the item was well-packaged.
34,81,15,30-03-2024,5,"Excellent product, highly recommend!"
35,27,12,13-03-2024,3,"Average experience, nothing special."
36,96,9,05-12-2025,3,"Good quality, but could be cheaper."
37,38,3,11-09-2023,3,"Average experience, nothing  special."
38,45,17,07-05-2024,5,"Great purchase, very satisfied."
39,54,1,02-10-2023,5,Customer support was very helpful.
40,33,2,03-01-2025,5,Five stars  for the quick delivery.
41,93,17,15-05-2025,3,"Average experience, nothing special."
42,72,15,21-03-2023,5,Five stars for the quick delivery.
43,84,15,02-02-2025,4,Exceeded my  expectations!
44,44,17,20-04-2023,5,"Excellent product,  highly recommend!"
45,11,16,23-03-2023,3,Not worth the money.
46,27,5,07-05-2025,4,Five stars for the quick delivery.
47,19,13,01-06-2024,4,Five stars for the quick delivery.
48,70,17,08-10-2023,4,Shipping was fast and the item  was well-packaged.
49,3,7,09-06-2025,3,"Good quality, but could  be cheaper."
50,62,4,07-01-2023,1,The product stopped working after a month.
51,49,17,14-04-2023,4,Five stars for the quick delivery.
52,75,11,07-04-2024,4,"I love this product, will buy again!"
53,73,18,28-12-2025,4,Five stars for  the quick delivery.
54,33,8,03-05-2023,5,"Excellent product, highly recommend!"
55,57,9,03-11-2025,3,Customer support was  very helpful.
56,15,10,11-12-2025,3,Shipping was fast and the item was well-packaged.
57,41,10,06-04-2024,2,Disappointed with the performance.
58,78,7,16-07-2024,2,"The product  is okay, but the instructions were unclear."
59,98,9,01-09-2024,4,The build quality is impressive.
60,11,16,27-12-2023,4,"Great purchase, very satisfied."
61,50,19,24-02-2023,4,"Great purchase,  very satisfied."
62,35,17,18-03-2023,2,"Average experience, nothing special."
63,93,2,05-01-2025,4,Five stars for the quick delivery.
64,86,11,30-10-2025,4,Customer support was very helpful.
65,34,3,15-06-2024,1,Not worth the money.
66,94,16,17-06-2023,4,"I love this product, will buy  again!"
67,67,13,12-04-2025,3,"Average experience, nothing special."
68,38,7,23-03-2023,3,"The product is okay, but the instructions were unclear."
69,77,12,03-08-2025,3,Five stars for the quick delivery.
70,93,5,30-01-2024,4,Shipping was fast  and the item was well-packaged.
71,24,11,28-07-2025,3,"Good quality, but could be cheaper."
72,29,4,29-05-2023,5,The  build quality is impressive.
73,68,19,05-05-2025,5,"I love this product, will buy again!"
74,59,9,16-05-2023,3,"The product is okay, but the instructions were unclear."
75,22,3,13-01-2024,5,Shipping was fast and the item was well-packaged.
76,9,10,31-08-2025,4,"Great purchase, very satisfied."
77,74,5,15-03-2023,4,"Great purchase,  very satisfied."
78,6,10,09-12-2024,5,Five stars for the quick delivery.
79,84,15,28-05-2024,2,The product arrived  late.
80,98,16,24-05-2025,3,Not worth the money.
81,3,19,04-09-2024,4,Five stars for the quick delivery.
82,78,13,02-05-2023,4,Shipping  was fast and the item was well-packaged.
83,32,11,26-05-2025,4,The quality is  top-notch.
84,40,20,17-07-2023,4,"Good quality, but could be cheaper."
85,17,6,25-10-2025,5,Five stars for the quick delivery.
86,78,3,06-10-2025,5,"Excellent product, highly recommend!"
87,89,17,26-05-2023,3,Not  worth the money.
88,93,19,26-08-2025,4,Exceeded my expectations!
89,60,3,08-07-2024,3,The quality is top-notch.
90,47,17,12-11-2025,4,Five stars for the quick delivery.
91,4,16,27-09-2025,3,"Great purchase, very satisfied."
92,2,16,21-11-2023,3,Not worth the money.
93,60,13,05-09-2024,3,Not worth the money.
94,2,16,14-03-2025,4,The quality is top-notch.
95,16,16,07-04-2024,4,Shipping was fast and the item was well-packaged.
96,19,13,02-09-2023,3,"Good quality, but could be cheaper."
97,64,6,19-01-2024,3,"The product is okay, but the instructions were unclear."
98,96,3,20-11-2025,5,Exceeded my expectations!
99,79,16,29-01-2025,2,"Average experience, nothing special."
100,9,2,20-06-2025,3,Not worth the money.
101,61,18,11-09-2024,5,The build quality is impressive.
102,4,2,22-08-2025,5,"Excellent product, highly recommend!"
103,82,14,17-11-2024,5,The quality is top-notch.
104,96,5,06-01-2023,4,"I love  this product, will buy again!"
105,32,12,27-08-2024,2,The product  arrived late.
106,94,17,25-02-2024,2,"Average experience, nothing special."
107,26,10,17-02-2025,5,Five stars for  the quick delivery.
108,80,17,22-12-2023,5,Five stars for the  quick delivery.
109,38,10,25-07-2023,4,Customer support was very helpful.
110,54,12,02-08-2024,4,Customer  support was very helpful.
111,43,7,05-11-2023,4,Five stars for the quick delivery.
112,87,3,26-05-2023,5,"Excellent product, highly recommend!"
113,27,9,31-03-2024,2,Disappointed with the performance.
114,52,19,04-05-2025,2,"Average experience, nothing special."
115,82,9,28-09-2023,4,Five stars for the quick delivery.
116,70,18,23-07-2023,4,The quality is top-notch.
117,20,14,19-04-2025,4,Customer support was very helpful.
118,59,6,01-05-2024,1,The product arrived late.
119,34,5,06-09-2025,4,"Great purchase, very  satisfied."
120,3,20,18-08-2024,4,The quality is top-notch.
121,91,1,02-11-2025,2,"Good quality, but could be cheaper."
122,83,14,27-09-2024,2,Not worth the money.
123,93,1,22-09-2025,4,"Good quality, but could be cheaper."
124,36,16,17-07-2023,5,Customer support was very helpful.
125,55,11,20-12-2025,5,"I love this product, will buy again!"
126,32,10,12-08-2024,5,Exceeded my expectations!
127,47,8,25-03-2025,4,"Great purchase, very satisfied."
128,71,20,13-12-2023,2,"Average experience, nothing special."
129,46,13,14-02-2025,4,"Good quality, but could be cheaper."
130,88,3,22-09-2025,5,"Great  purchase, very satisfied."
131,42,5,16-06-2023,5,Amazing value for the price.
132,21,7,13-11-2025,2,Product did not meet my expectations.
133,40,4,24-05-2025,4,The quality is top-notch.
134,74,4,27-03-2024,3,"Good quality, but could  be cheaper."
135,48,14,08-06-2023,4,"I love this product, will buy again!"
136,17,3,27-03-2025,5,Amazing value for  the price.
137,88,6,02-03-2023,4,"Good quality, but could  be cheaper."
138,28,15,18-01-2023,5,Five stars for the quick delivery.
139,36,16,20-04-2023,4,Customer support was very helpful.
140,53,18,03-12-2023,3,"Good quality, but could be cheaper."
141,98,9,15-10-2024,5,Amazing value for the  price.
142,15,7,04-08-2023,5,"Excellent product, highly recommend!"
143,3,12,12-04-2023,3,"Average experience, nothing special."
144,27,15,16-08-2025,4,The build quality is impressive.
145,27,10,05-03-2024,3,"The  product is okay, but the instructions were unclear."
146,5,13,09-01-2025,4,"I love this product, will buy again!"
147,100,20,25-01-2025,2,"Average experience, nothing special."
148,17,18,05-11-2024,1,"Average experience, nothing special."
149,50,3,20-12-2023,4,The quality is top-notch.
150,4,15,18-06-2024,5,"I love this product, will buy  again!"
151,21,19,30-10-2023,3,"Good quality, but could be cheaper."
152,32,16,15-12-2025,3,"Good quality, but  could be cheaper."
153,95,11,06-11-2023,5,Amazing value for the price.
154,3,12,19-12-2023,4,The quality is top-notch.
155,89,3,10-12-2025,4,Customer support was very helpful.
